Release Date,Time,Actual,Forecast,Previous,
"Feb 01, 2018 (Jan)",10:00,59.1,58.8,59.7,
"Jan 03, 2018 (Dec)",10:00,59.7,58.1,58.2,
"Dec 01, 2017 (Nov)",10:00,58.2,58.4,58.7,
"Nov 01, 2017 (Oct)",9:00,58.7,59.5,60.8,
"Oct 02, 2017 (Sep)",9:00,60.8,58,58.8,
"Sep 01, 2017 (Aug)",9:00,58.8,56.5,56.3,
"Aug 01, 2017 (Jul)",9:00,56.3,56.5,57.8,
"Jul 03, 2017 (Jun)",9:00,57.8,55.2,54.9,
"Jun 01, 2017 (May)",9:00,54.9,54.5,54.8,
"May 01, 2017 (Apr)",9:00,54.8,56.5,57.2,
"Apr 03, 2017 (Mar)",9:00,57.2,57,57.7,
"Mar 01, 2017 (Feb)",10:00,57.7,56,56,
"Feb 01, 2017 (Jan)",10:00,56,55,54.5,
"Jan 03, 2017 (Dec)",10:00,54.7,53.6,53.2,
"Dec 01, 2016 (Nov)",10:00,53.2,52.2,51.9,
"Nov 01, 2016 (Oct)",9:00,51.9,51.7,51.5,
"Oct 03, 2016 (Sep)",9:00,51.5,50.3,49.4,
"Sep 01, 2016 (Aug)",9:00,49.4,52,52.6,
"Aug 01, 2016 (Jul)",9:00,52.6,53,53.2,
"Jul 01, 2016 (Jun)",9:00,53.2,51.4,51.3,
"Jun 01, 2016 (May)",9:00,51.3,50.4,50.8,
"May 02, 2016 (Apr)",9:00,50.8,51.4,51.8,
"Apr 01, 2016 (Mar)",9:00,51.8,50.7,49.5,
"Mar 01, 2016 (Feb)",10:00,49.5,48.5,48.2,
"Feb 01, 2016 (Jan)",10:00,48.2,48.1,48,
"Jan 04, 2016 (Dec)",10:00,48.2,49,48.6,
"Dec 01, 2015 (Nov)",10:00,48.6,50.5,50.1,
"Nov 02, 2015 (Oct)",10:00,50.1,50,50.2,
"Oct 01, 2015 (Sep)",9:00,50.2,50.6,51.1,
"Sep 01, 2015 (Aug)",9:00,51.1,52.6,52.7,
"Aug 03, 2015 (Jul)",8:25,52.7,53.5,53.5,
"Jul 01, 2015 (Jun)",9:00,53.5,53.1,52.8,
"Jun 01, 2015 (May)",9:00,52.8,52,51.5,
"May 01, 2015 (Apr)",9:00,51.5,52,51.5,
"Apr 01, 2015 (Mar)",9:00,51.5,52.5,52.9,
"Mar 02, 2015 (Feb)",10:00,52.9,53,53.5,
"Feb 02, 2015 (Jan)",10:00,53.5,54.5,55.5,
"Jan 02, 2015 (Dec)",10:00,55.5,57.6,58.7,
"Dec 01, 2014 (Nov)",10:00,58.7,57.9,59,
"Nov 03, 2014 (Oct)",10:00,59,56.2,56.6,
"Oct 01, 2014 (Sep)",9:00,56.6,58.5,59,
02-Sep-14,9:00,59,56.8,57.1,
01-Aug-14,9:00,57.1,56,55.3,
01-Jul-14,9:00,55.3,55.8,55.4,
02-Jun-14,9:00,55.4,55.5,54.9,
01-May-14,9:00,54.9,54.3,53.7,
01-Apr-14,9:00,53.7,54,53.2,
03-Mar-14,10:00,53.2,52,51.3,
03-Feb-14,10:00,51.3,56.4,57,
02-Jan-14,10:00,57,57,57.3,
02-Dec-13,10:00,57.3,55,56.4,
01-Nov-13,9:00,56.4,55,56.2,
01-Oct-13,9:00,56.2,55,55.7,
03-Sep-13,9:00,55.7,54,55.4,
01-Aug-13,9:00,55.4,52,50.9,
01-Jul-13,9:00,50.9,50.5,49,
03-Jun-13,9:00,49,50.7,50.7,
