Release Date,Time,Actual,Forecast,Previous,
"Feb 05, 2018 (Jan)",10:00,,56.3,56,
"Jan 05, 2018 (Dec)",10:00,55.9,57.8,57.4,
"Dec 05, 2017 (Nov)",10:00,57.4,59,60.1,
"Nov 03, 2017 (Oct)",9:00,60.1,58.5,59.8,
"Oct 04, 2017 (Sep)",9:00,59.8,55.5,55.3,
"Sep 06, 2017 (Aug)",9:00,55.3,55.4,53.9,
"Aug 03, 2017 (Jul)",9:00,53.9,57,57.4,
"Jul 06, 2017 (Jun)",9:00,57.4,56.5,56.9,
"Jun 05, 2017 (May)",9:00,56.9,57,57.5,
"May 03, 2017 (Apr)",9:00,57.5,55.8,55.2,
"Apr 05, 2017 (Mar)",9:00,55.2,57,57.6,
"Mar 03, 2017 (Feb)",10:00,57.6,56.5,56.5,
"Feb 03, 2017 (Jan)",10:00,56.5,57,56.6,
"Jan 05, 2017 (Dec)",10:00,57.2,56.6,57.2,
"Dec 05, 2016 (Nov)",10:00,57.2,55.4,54.8,
"Nov 03, 2016 (Oct)",9:00,54.8,56,57.1,
"Oct 05, 2016 (Sep)",9:00,57.1,53,51.4,
"Sep 06, 2016 (Aug)",9:00,51.4,55,55.5,
"Aug 03, 2016 (Jul)",9:00,55.5,56,56.5,
"Jul 06, 2016 (Jun)",9:00,56.5,53.3,52.9,
"Jun 03, 2016 (May)",9:00,52.9,55.5,55.7,
"May 04, 2016 (Apr)",9:00,55.7,54.7,54.5,
"Apr 05, 2016 (Mar)",9:00,54.5,54,53.4,
"Mar 03, 2016 (Feb)",10:00,53.4,53.2,53.5,
"Feb 03, 2016 (Jan)",10:00,53.5,55.1,55.3,
"Jan 06, 2016 (Dec)",10:00,55.3,56,55.9,
"Dec 03, 2015 (Nov)",10:00,55.9,58,59.1,
"Nov 04, 2015 (Oct)",10:00,59.1,56.5,56.9,
"Oct 05, 2015 (Sep)",9:00,56.9,57.5,59,
"Sep 03, 2015 (Aug)",9:00,59,58.1,60.3,
"Aug 05, 2015 (Jul)",9:00,60.3,56.2,56,
"Jul 06, 2015 (Jun)",9:00,56,56.2,55.7,
"Jun 03, 2015 (May)",9:00,55.7,57,57.8,
"May 05, 2015 (Apr)",9:00,57.8,56.2,56.5,
"Apr 06, 2015 (Mar)",9:00,56.5,56.5,56.9,
"Mar 04, 2015 (Feb)",10:00,56.9,56.5,56.7,
"Feb 04, 2015 (Jan)",10:00,56.7,56.3,56.2,
"Jan 06, 2015 (Dec)",10:00,56.2,58,59.3,
"Dec 03, 2014 (Nov)",10:00,59.3,57.5,57.1,
"Nov 05, 2014 (Oct)",10:00,57.1,58,58.6,
"Oct 03, 2014 (Sep)",9:00,58.6,58.5,59.6,
04-Sep-14,9:00,59.6,57.5,58.7,
05-Aug-14,9:00,58.7,56.3,56,
03-Jul-14,9:00,56,56.3,56.3,
04-Jun-14,9:00,56.3,55.5,55.2,
05-May-14,9:00,55.2,54.1,53.1,
03-Apr-14,9:00,53.1,53.5,51.6,
05-Mar-14,10:00,51.6,53.5,54,
05-Feb-14,10:00,54,53.7,53,
06-Jan-14,10:00,53,54.5,53.9,
04-Dec-13,10:00,53.9,55,55.4,
05-Nov-13,10:00,55.4,54,54.4,
03-Oct-13,9:00,54.4,57.4,58.6,
05-Sep-13,9:00,58.6,55,56,
05-Aug-13,9:00,56,53,52.2,
03-Jul-13,9:00,52.2,54,53.7,
05-Jun-13,9:00,53.7,53.5,53.1,
03-May-13,9:00,53.1,54,54.4,
03-Apr-13,9:00,54.4,55.8,56,
05-Mar-13,10:00,56,55,55.2,
05-Feb-13,10:00,55.2,55.2,55.7,
04-Jan-13,10:00,56.1,54.2,54.7,
05-Dec-12,10:00,54.7,53.5,54.2,
05-Nov-12,10:00,54.2,54.5,55.1,
03-Oct-12,9:00,55.1,53.2,53.7,
06-Sep-12,9:00,53.7,52.5,52.6,
03-Aug-12,9:00,52.6,52,52.1,
05-Jul-12,9:00,52.1,53,53.7,
05-Jun-12,9:00,53.7,53.5,53.5,
03-May-12,9:00,53.5,55.5,56,
04-Apr-12,9:00,56,57,57.3,
05-Mar-12,10:00,57.3,56.1,56.8,
03-Feb-12,10:00,56.8,53.2,52.6,
05-Jan-12,10:00,52.6,53,52,
05-Dec-11,10:00,52,53.4,52.9,
03-Nov-11,9:00,52.9,53.7,53,
05-Oct-11,9:00,53,53,53.3,
06-Sep-11,9:00,53.3,51,52.7,
03-Aug-11,9:00,52.7,53.8,53.3,
06-Jul-11,9:00,53.3,54,54.6,
03-Jun-11,9:00,54.6,54,52.8,
04-May-11,9:00,52.8,57.4,57.3,
05-Apr-11,9:00,57.3,60,59.7,
03-Mar-11,10:00,59.7,59.7,59.4,
03-Feb-11,10:00,59.4,57,57.1,
05-Jan-11,10:00,57.1,55.7,55,
03-Dec-10,10:00,55,54.5,54.3,
03-Nov-10,9:00,54.3,53.6,53.2,
05-Oct-10,9:00,53.2,51.8,51.5,
03-Sep-10,9:00,51.5,53.2,54.3,
04-Aug-10,9:00,54.3,53,53.8,
06-Jul-10,9:00,53.8,55,55.4,
03-Jun-10,9:00,55.4,55.5,55.4,
05-May-10,9:00,55.4,56.1,55.4,
05-Apr-10,9:00,55.4,53.5,53,
03-Mar-10,10:00,53,51,50.5,
03-Feb-10,10:00,50.5,51,49.8,
06-Jan-10,10:00,50.1,50.5,48.7,
03-Dec-09,10:00,48.7,51.5,50.6,
04-Nov-09,10:00,50.6,51.7,50.9,
05-Oct-09,9:00,50.9,50,48.4,
03-Sep-09,9:00,48.4,48.5,46.4,
05-Aug-09,9:00,46.4,48.1,47,
06-Jul-09,9:00,47,45.9,44,
03-Jun-09,9:00,44,45.1,43.7,
