Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1939,,178,179,-186,206,202,-83,244,369,376,61,70
1940,64,112,111,-126,180,98,-36,410,458,455,403,504
1941,308,364,250,375,713,469,486,407,291,113,76,80
1942,243,166,423,416,420,256,443,517,267,260,158,242
1943,257,223,158,94,-51,185,-80,-155,-61,190,145,-74
1944,-91,-111,-252,-229,-78,-38,-42,-55,-178,37,3,149
1945,36,7,-108,-353,-139,-155,-276,-406,-1967,99,398,115
1946,720,-581,942,716,440,384,420,490,266,185,303,-18
1947,160,24,43,-114,146,170,-65,216,242,214,72,92
1948,103,-145,144,-311,425,238,127,16,119,-44,-57,-165
1949,-358,-171,-262,-8,-248,-243,-210,93,162,-834,295,272
1950,11,-230,654,424,342,366,370,734,254,270,66,77
1951,433,289,294,-15,97,115,-6,-53,-54,54,139,161
1952,-11,224,-18,112,29,-359,-142,779,396,279,218,348
1953,-19,194,136,-43,59,31,14,-49,-122,-123,-335,-205
1954,-234,-86,-224,20,-213,-69,-61,-10,57,62,234,153
1955,166,147,319,284,265,278,195,126,151,169,161,213
1956,170,192,128,80,131,78,-630,676,-29,180,41,108
1957,-42,209,60,81,-89,-83,57,3,-194,-167,-206,-174
1958,-308,-501,-276,-273,-114,-1,125,194,275,-20,458,144
1959,392,207,329,304,229,130,124,-469,95,-70,276,540
1960,99,239,-55,354,-339,-126,-43,-33,-43,-84,-182,-218
1961,-61,-127,106,-36,159,192,146,175,90,134,221,128
1962,20,296,89,326,25,17,102,92,139,64,15,-28
1963,88,114,92,258,36,42,136,116,167,207,-29,105
1964,127,264,147,24,167,132,192,206,284,-109,423,204
1965,162,217,203,256,233,198,273,265,262,228,279,324
1966,207,268,396,244,275,399,191,206,137,210,165,181
1967,207,21,102,-63,152,131,137,255,22,61,478,197
1968,-95,410,80,260,98,251,221,203,159,233,265,261
1969,192,262,205,167,256,308,93,277,-89,203,-33,153
1970,-64,128,148,-104,-225,-94,24,-120,15,-429,-110,381
1971,76,-60,53,178,210,6,62,55,247,25,204,262
1972,337,207,293,218,304,293,-52,430,125,410,294,303
1973,351,396,268,170,191,241,24,255,110,330,306,123
1974,69,150,42,86,165,55,33,-16,-8,18,-368,-604
1975,-360,-378,-270,-188,162,-103,249,386,75,305,145,338
1976,488,311,232,243,19,65,171,157,188,13,332,211
1977,244,296,403,338,360,399,348,238,458,262,379,235
1978,187,353,513,702,346,442,254,276,137,336,437,282
1979,137,244,426,-62,373,318,106,82,28,157,94,97
1980,129,80,112,-144,-431,-320,-262,260,113,281,257,195
1981,94,68,105,73,10,197,112,-36,-87,-99,-209,-278
1982,-326,-5,-130,-280,-45,-243,-342,-158,-181,-277,-123,-14
1983,224,-75,172,276,277,379,418,-308,1115,271,353,356
1984,446,481,275,363,308,379,313,242,310,286,349,128
1985,266,124,346,196,274,146,190,193,203,188,209,167
1986,125,107,94,187,127,-94,318,114,347,186,186,205
1987,172,232,249,338,226,172,347,171,228,492,232,294
1988,94,453,276,245,229,363,222,124,339,268,339,290
1989,262,258,193,173,118,116,40,49,250,111,277,96
1990,336,248,215,39,152,22,-31,-216,-90,-160,-149,-56
1991,-117,-306,-158,-212,-123,94,-39,10,32,15,-57,26
1992,51,-61,55,158,127,65,73,138,36,181,136,211
1993,310,243,-49,308,267,179,302,158,241,283,263,316
1994,272,196,464,350,334,314,374,283,354,209,421,280
1995,326,201,219,163,-16,234,96,255,244,151,149,134
1996,-15,429,265,164,323,285,250,180,224,249,299,171
1997,233,305,315,292,261,266,306,-31,511,342,304,304
1998,274,199,149,280,404,220,129,342,222,201,280,347
1999,126,409,108,374,212,263,321,162,216,397,293,299
2000,228,131,468,287,226,-44,176,-13,135,-14,228,142
2001,-25,72,-27,-280,-39,-130,-111,-156,-241,-327,-291,-172
2002,-135,-136,-21,-78,-5,56,-84,-14,-60,122,13,-158
2003,92,-149,-209,-44,-7,10,22,-41,104,203,11,123
2004,159,48,331,251,307,77,45,119,162,346,66,129
2005,136,239,135,364,177,245,374,196,67,84,341,157
2006,278,315,282,183,25,79,206,183,153,8,209,171
2007,240,89,190,80,143,75,-34,-20,88,84,114,98
2008,17,-84,-78,-210,-186,-162,-213,-267,-450,-474,-766,-694
2009,-793,-702,-823,-687,-349,-471,-329,-213,-220,-204,-2,-275
2010,23,-68,164,243,524,-137,-68,-36,-52,262,119,87
2011,43,189,225,346,77,225,69,110,248,209,141,209
2012,358,237,233,78,115,76,143,177,203,146,132,244
2013,211,286,130,197,226,162,122,261,190,212,258,47
2014,190,151,272,329,246,304,202,230,280,227,312,255
2015,234,238,86,262,344,206,254,157,100,321,272,239
2016,126,237,225,153,43,297,291,176,249,124,164,155
2017,216,232,50,207,145,210,138,208,38,211,252,148
