Release Date,Time,Actual,Forecast,Previous
"Jan 31, 2018 (Dec)",8:30,-0.90%,-2.20%,5.40%
"Dec 04, 2017 (Nov)",8:30,5.50%,4.00%,3.80%
"Nov 28, 2017 (Oct)",8:30,3.80%,2.00%,-0.20%
"Oct 31, 2017 (Sep)",7:30,-0.10%,0.40%,0.90%
"Sep 29, 2017 (Aug)",7:30,1.00%,0.30%,-0.90%
"Aug 29, 2017 (Jul)",7:30,-0.60%,-2.50%,-3.60%
"Jul 31, 2017 (Jun)",7:30,-3.70%,-3.20%,-1.70%
"Jun 30, 2017 (May)",7:30,-1.80%,-1.00%,1.60%
"May 30, 2017 (Apr)",7:30,1.60%,,-1.70%
"Apr 28, 2017 (Mar)",7:30,-1.60%,,1.30%
"Mar 30, 2017 (Feb)",7:30,1.20%,0.80%,1.70%
"Feb 28, 2017 (Jan)",8:30,1.70%,1.30%,6.50%
"Jan 31, 2017 (Dec)",8:30,6.50%,2.80%,-1.60%
"Dec 05, 2016 (Nov)",8:30,-2.00%,-1.50%,3.30%
"Nov 30, 2016 (Oct)",8:30,3.30%,3.20%,-0.10%
"Oct 31, 2016 (Sep)",7:30,-0.10%,0.50%,-0.70%
"Sep 30, 2016 (Aug)",7:30,-0.70%,-1.00%,-2.70%
"Aug 30, 2016 (Jul)",7:30,-2.70%,-1.20%,2.00%
"Jul 29, 2016 (Jun)",7:30,1.80%,3.20%,7.00%
"Jun 30, 2016 (May)",7:30,6.70%,5.00%,0.70%
"May 30, 2016 (Apr)",7:30,0.70%,2.20%,4.50%
"Apr 29, 2016 (Mar)",7:30,4.50%,3.70%,0.70%
"Mar 29, 2016 (Feb)",7:30,-2.60%,-0.80%,-0.40%
"Feb 29, 2016 (Jan)",8:30,-0.40%,-3.30%,-5.20%
"Jan 29, 2016 (Dec)",8:30,-5.00%,-4.00%,-4.10%
"Dec 05, 2015 (Nov)",8:30,-4.00%,-3.00%,0.00%
"Nov 27, 2015 (Oct)",8:30,0.40%,,2.40%
"Oct 29, 2015 (Sep)",7:30,3.00%,1.50%,-6.80%
"Sep 29, 2015 (Aug)",7:30,-6.60%,-7.90%,-6.00%
"Aug 28, 2015 (Jul)",7:30,-5.90%,-4.00%,0.20%
"Jul 28, 2015 (Jun)",7:30,0.00%,1.00%,4.40%
"Jun 29, 2015 (May)",7:30,4.40%,4.50%,4.00%
"May 28, 2015 (Apr)",7:30,3.80%,1.60%,-1.50%
"Apr 29, 2015 (Mar)",7:30,-0.90%,-1.80%,5.90%
"Mar 30, 2015 (Feb)",7:30,6.10%,5.10%,-7.80%
"Feb 03, 2015 (Jan)",8:30,-7.70%,-6.80%,-7.50%
"Jan 03, 2015 (Dec)",8:30,-7.60%,-8.80%,-5.70%
"Dec 06, 2014 (Nov)",8:30,-5.80%,-5.00%,-4.30%
"Nov 28, 2014 (Oct)",8:30,-4.30%,1.50%,-2.10%
"Oct 29, 2014 (Sep)",7:30,-1.80%,-1.00%,-2.20%
"Sep 30, 2014 (Aug)",7:30,-2.20%,-1.70%,-1.40%
29-Aug-14,7:30,-1.40%,-1.00%,1.10%
30-Jul-14,7:30,1.10%,0.60%,-0.30%
27-Jun-14,7:30,-0.40%,1.30%,0.10%
30-May-14,7:30,0.10%,1.20%,0.70%
30-Apr-14,7:30,0.60%,1.20%,5.70%
15-Mar-14,7:30,5.70%,2.30%,2.80%
03-Feb-14,8:30,2.60%,1.00%,1.80%
03-Jan-14,8:30,1.90%,2.00%,-4.20%
06-Dec-13,8:30,-4.10%,-2.00%,-2.30%
28-Nov-13,8:30,-2.30%,-2.00%,-1.20%
29-Oct-13,7:30,-1.50%,-1.00%,0.90%
30-Sep-13,7:30,0.90%,1.00%,4.30%
29-Aug-13,7:30,4.20%,1.00%,0.30%
30-Jul-13,7:30,0.30%,1.00%,0.20%
28-Jun-13,7:30,0.20%,1.00%,-2.40%
30-May-13,7:30,-2.20%,-1.00%,-1.70%
30-Apr-13,7:30,-1.70%,1.00%,2.20%
28-Mar-13,7:30,2.20%,2.00%,3.80%
28-Feb-13,8:30,3.80%,2.00%,-2.00%
31-Jan-13,8:30,-2.00%,0.90%,-1.90%
04-Dec-12,8:30,-1.90%,-1.00%,0.10%
29-Nov-12,8:30,0.00%,-1.00%,1.30%
30-Oct-12,7:30,1.30%,1.00%,3.50%
01-Sep-12,7:30,3.40%,2.00%,0.80%
29-Aug-12,7:30,0.90%,2.00%,-4.10%
31-Jul-12,7:30,-4.00%,-2.00%,-1.10%
29-Jun-12,7:30,-1.00%,2.30%,-2.00%
30-May-12,7:30,-2.00%,-2.00%,-1.70%
30-Apr-12,7:30,-1.60%,0.50%,-0.60%
29-Mar-12,7:30,-0.50%,0.50%,0.20%
01-Feb-12,8:30,0.10%,-0.50%,-2.50%
31-Jan-12,8:30,-2.40%,0.20%,3.80%
