Release Date,Time,Actual,Forecast,Previous
"Feb 09, 2018 (Jan)",8:30,,1.0K,78.6K
"Jan 05, 2018 (Dec)",8:30,78.6K,1.0K,79.5K
"Dec 01, 2017 (Nov)",8:30,79.5K,10.0K,35.3K
"Nov 03, 2017 (Oct)",7:30,35.3K,15.0K,10.0K
"Oct 06, 2017 (Sep)",7:30,10.0K,14.5K,22.2K
"Sep 08, 2017 (Aug)",7:30,22.2K,19.0K,10.9K
"Aug 04, 2017 (Jul)",7:30,10.9K,10.0K,45.3K
"Jul 07, 2017 (Jun)",7:30,45.3K,10.0K,54.5K
"Jun 09, 2017 (May)",7:30,54.5K,11.0K,3.2K
"May 05, 2017 (Apr)",7:30,3.2K,10.0K,19.4K
"Apr 07, 2017 (Mar)",7:30,19.4K,5.0K,15.3K
"Mar 10, 2017 (Feb)",8:30,15.3K,2.5K,48.3K
"Feb 10, 2017 (Jan)",8:30,48.3K,-5.0K,46.1K
"Jan 06, 2017 (Dec)",8:30,53.7K,-5.0K,10.7K
"Dec 02, 2016 (Nov)",8:30,10.7K,-20.0K,43.9K
"Nov 04, 2016 (Oct)",7:30,43.9K,-10.0K,67.2K
"Oct 07, 2016 (Sep)",7:30,67.2K,10.0K,26.2K
"Sep 09, 2016 (Aug)",7:30,26.2K,15.0K,-31.2K
"Aug 05, 2016 (Jul)",7:30,-31.2K,10.0K,-0.7K
"Jul 08, 2016 (Jun)",7:30,-0.7K,5.0K,13.8K
"Jun 10, 2016 (May)",7:30,13.8K,3.8K,-2.1K
"May 06, 2016 (Apr)",7:30,-2.1K,1.0K,40.6K
"Apr 08, 2016 (Mar)",7:30,40.6K,10.0K,-2.3K
"Mar 11, 2016 (Feb)",8:30,-2.3K,9.0K,-5.7K
"Feb 05, 2016 (Jan)",8:30,-5.7K,5.5K,1.3K
"Jan 08, 2016 (Dec)",8:30,22.8K,10.0K,-35.7K
"Dec 04, 2015 (Nov)",8:30,-35.7K,-10.0K,44.4K
"Nov 06, 2015 (Oct)",8:30,44.4K,10.0K,12.1K
"Oct 09, 2015 (Sep)",7:30,12.1K,10.0K,12.0K
"Sep 04, 2015 (Aug)",7:30,12.0K,-4.5K,6.6K
"Aug 07, 2015 (Jul)",7:30,6.6K,5.0K,-6.4K
"Jul 10, 2015 (Jun)",7:30,-6.4K,-10.0K,58.9K
"Jun 05, 2015 (May)",7:30,58.9K,10.0K,-19.7K
"May 08, 2015 (Apr)",7:30,-19.7K,-5.0K,28.7K
"Apr 10, 2015 (Mar)",7:30,28.7K,-0.1K,-1.0K
"Mar 13, 2015 (Feb)",7:30,-1.0K,-5.0K,35.4K
"Feb 06, 2015 (Jan)",8:30,35.4K,5.0K,-11.3K
"Jan 09, 2015 (Dec)",8:30,-4.3K,15.0K,-10.7K
