Date,Price,Open,High,Low,Change %
22-Jan-18,1.2452,1.2487,1.2496,1.2435,-0.27
21-Jan-18,1.2486,1.2478,1.2497,1.2475,-0.02
19-Jan-18,1.2489,1.2416,1.2509,1.2397,0.57
18-Jan-18,1.2418,1.2436,1.2488,1.2413,-0.14
17-Jan-18,1.2436,1.2436,1.2539,1.237,0.01
16-Jan-18,1.2435,1.2429,1.2453,1.2394,0.05
15-Jan-18,1.2429,1.2464,1.2472,1.2399,-0.22
12-Jan-18,1.2457,1.2518,1.2557,1.2454,-0.5
11-Jan-18,1.2519,1.2544,1.2591,1.2513,-0.22
10-Jan-18,1.2547,1.2464,1.2585,1.2425,0.67
09-Jan-18,1.2464,1.2422,1.2479,1.2395,0.35
08-Jan-18,1.2421,1.2415,1.245,1.2377,0.1
05-Jan-18,1.2409,1.2486,1.2515,1.2353,-0.62
04-Jan-18,1.2487,1.2532,1.2556,1.2482,-0.37
03-Jan-18,1.2533,1.2513,1.2555,1.2498,0.16
02-Jan-18,1.2513,1.2543,1.2561,1.2499,-0.26
01-Jan-18,1.2545,1.2579,1.2582,1.2544,-0.27
29-Dec-17,1.2579,1.2569,1.2586,1.2513,0.08
28-Dec-17,1.2569,1.2655,1.2663,1.2564,-0.68
27-Dec-17,1.2655,1.2687,1.2697,1.2625,-0.28
26-Dec-17,1.269,1.2729,1.2737,1.2684,-0.31
25-Dec-17,1.2729,1.2724,1.2742,1.2714,-0.03
22-Dec-17,1.2733,1.2741,1.2797,1.2695,-0.04
21-Dec-17,1.2738,1.2833,1.2839,1.2696,-0.76
20-Dec-17,1.2836,1.2875,1.2882,1.2816,-0.33
19-Dec-17,1.2878,1.286,1.292,1.2848,0.12
18-Dec-17,1.2862,1.2874,1.2882,1.2842,0
15-Dec-17,1.2862,1.2799,1.2892,1.2737,0.52
14-Dec-17,1.2796,1.2819,1.2867,1.2711,-0.15
13-Dec-17,1.2815,1.2865,1.2882,1.2791,-0.37
12-Dec-17,1.2862,1.2857,1.2893,1.2811,0.05
11-Dec-17,1.2856,1.2854,1.2871,1.2831,0.09
08-Dec-17,1.2845,1.2851,1.2881,1.2803,-0.05
07-Dec-17,1.2851,1.279,1.2869,1.2783,0.48
06-Dec-17,1.279,1.2688,1.2809,1.265,0.8
05-Dec-17,1.2688,1.267,1.2706,1.2622,0.14
04-Dec-17,1.267,1.2686,1.2728,1.2654,-0.1
01-Dec-17,1.2683,1.2897,1.2903,1.2681,-1.65
30-Nov-17,1.2896,1.2866,1.2912,1.2849,0.24
29-Nov-17,1.2865,1.2811,1.2875,1.2802,0.38
28-Nov-17,1.2816,1.2768,1.2825,1.2751,0.37
27-Nov-17,1.2769,1.2712,1.2772,1.2678,0.42
24-Nov-17,1.2715,1.2712,1.2749,1.2691,0.02
23-Nov-17,1.2713,1.2696,1.2728,1.2671,0.16
22-Nov-17,1.2693,1.2778,1.2789,1.2692,-0.67
21-Nov-17,1.2778,1.282,1.2838,1.2747,-0.33
20-Nov-17,1.282,1.2767,1.2822,1.2753,0.45
17-Nov-17,1.2763,1.2758,1.2825,1.2711,0.05
16-Nov-17,1.2757,1.2765,1.2785,1.2726,-0.05
15-Nov-17,1.2764,1.2732,1.2792,1.2712,0.26
14-Nov-17,1.2731,1.2733,1.2774,1.2698,-0.02
13-Nov-17,1.2733,1.2684,1.2743,1.2677,0.4
10-Nov-17,1.2682,1.268,1.2697,1.2664,-0.01
09-Nov-17,1.2683,1.2727,1.2742,1.2665,-0.35
08-Nov-17,1.2727,1.2774,1.2782,1.2714,-0.37
07-Nov-17,1.2774,1.2704,1.2821,1.2701,0.55
06-Nov-17,1.2704,1.2764,1.2784,1.2701,-0.46
03-Nov-17,1.2763,1.2808,1.2837,1.2713,-0.35
02-Nov-17,1.2808,1.2866,1.2877,1.2798,-0.47
01-Nov-17,1.2868,1.289,1.2913,1.2853,-0.14
31-Oct-17,1.2886,1.2832,1.2916,1.282,0.44
30-Oct-17,1.283,1.2818,1.2862,1.2811,0.17
27-Oct-17,1.2808,1.2847,1.2918,1.2805,-0.3
26-Oct-17,1.2847,1.2792,1.2859,1.2779,0.4
25-Oct-17,1.2796,1.2675,1.2818,1.2656,0.95
24-Oct-17,1.2675,1.2652,1.2694,1.2619,0.18
23-Oct-17,1.2652,1.2625,1.2663,1.2611,0.21
20-Oct-17,1.2626,1.2486,1.2631,1.2474,1.12
19-Oct-17,1.2486,1.2465,1.2496,1.2448,0.15
18-Oct-17,1.2467,1.2522,1.2535,1.2455,-0.42
17-Oct-17,1.252,1.2515,1.2592,1.2511,0.02
16-Oct-17,1.2518,1.2478,1.2558,1.2469,0.4
13-Oct-17,1.2468,1.2473,1.2521,1.245,-0.05
12-Oct-17,1.2474,1.2457,1.2492,1.2431,0.11
11-Oct-17,1.246,1.2515,1.2532,1.245,-0.44
10-Oct-17,1.2515,1.2549,1.2557,1.2481,-0.27
09-Oct-17,1.2549,1.2532,1.256,1.2525,0.1
06-Oct-17,1.2536,1.2565,1.2599,1.2523,-0.23
05-Oct-17,1.2565,1.2475,1.2586,1.246,0.74
04-Oct-17,1.2473,1.2489,1.2498,1.2446,-0.12
03-Oct-17,1.2488,1.2509,1.254,1.2478,-0.17
02-Oct-17,1.2509,1.2475,1.2526,1.2467,0.31
29-Sep-17,1.247,1.2429,1.253,1.2414,0.35
28-Sep-17,1.2426,1.2477,1.2521,1.2414,-0.38
27-Sep-17,1.2474,1.2349,1.2484,1.2333,1.03
26-Sep-17,1.2347,1.2371,1.2414,1.2328,-0.19
25-Sep-17,1.2371,1.2335,1.2387,1.2311,0.27
22-Sep-17,1.2338,1.2328,1.2353,1.2253,0.09
21-Sep-17,1.2327,1.2326,1.2369,1.2318,0.05
20-Sep-17,1.2321,1.2292,1.2391,1.22,0.25
19-Sep-17,1.229,1.2291,1.231,1.2252,0
18-Sep-17,1.229,1.2195,1.234,1.2171,0.79
15-Sep-17,1.2194,1.2165,1.2221,1.2119,0.25
14-Sep-17,1.2164,1.2171,1.224,1.2154,-0.07
13-Sep-17,1.2173,1.2187,1.2221,1.2129,-0.09
12-Sep-17,1.2184,1.2109,1.2191,1.208,0.61
11-Sep-17,1.211,1.2158,1.2171,1.2096,-0.36
08-Sep-17,1.2154,1.2112,1.2167,1.2059,0.34
07-Sep-17,1.2113,1.2227,1.2242,1.2108,-0.92
06-Sep-17,1.2225,1.2373,1.2417,1.2136,-1.19
05-Sep-17,1.2372,1.2418,1.2418,1.2334,-0.37
04-Sep-17,1.2418,1.2402,1.2431,1.2376,0.18
01-Sep-17,1.2396,1.2479,1.2493,1.2339,-0.69
31-Aug-17,1.2482,1.2621,1.2664,1.2474,-1.1
30-Aug-17,1.2621,1.2512,1.2638,1.2498,0.88
29-Aug-17,1.2511,1.2505,1.255,1.2438,0.02
28-Aug-17,1.2508,1.2475,1.2511,1.2441,0.22
25-Aug-17,1.2481,1.2519,1.2541,1.2463,-0.3
24-Aug-17,1.2518,1.2555,1.2563,1.2512,-0.29
23-Aug-17,1.2555,1.2562,1.2597,1.2537,-0.05
22-Aug-17,1.2561,1.2556,1.2596,1.2525,0.02
21-Aug-17,1.2559,1.2568,1.2608,1.2552,-0.21
18-Aug-17,1.2586,1.2682,1.2693,1.2555,-0.73
17-Aug-17,1.2679,1.2618,1.2685,1.2586,0.5
16-Aug-17,1.2616,1.2754,1.2771,1.2611,-1.11
15-Aug-17,1.2757,1.2723,1.2781,1.2717,0.28
14-Aug-17,1.2721,1.2671,1.2733,1.2667,0.3
11-Aug-17,1.2683,1.2742,1.2754,1.2648,-0.48
10-Aug-17,1.2744,1.2698,1.2748,1.2668,0.35
09-Aug-17,1.27,1.2663,1.2723,1.2661,0.26
08-Aug-17,1.2667,1.2679,1.2706,1.2648,-0.11
07-Aug-17,1.2681,1.2647,1.2716,1.2627,0.23
04-Aug-17,1.2652,1.2582,1.2669,1.2553,0.52
03-Aug-17,1.2586,1.2568,1.262,1.255,0.16
02-Aug-17,1.2566,1.2536,1.2591,1.253,0.24
01-Aug-17,1.2536,1.2477,1.2554,1.2448,0.46
31-Jul-17,1.2479,1.2439,1.253,1.2429,0.36
28-Jul-17,1.2434,1.2553,1.2569,1.2417,-0.95
27-Jul-17,1.2553,1.2444,1.2575,1.2412,0.87
26-Jul-17,1.2445,1.2508,1.2544,1.2412,-0.51
25-Jul-17,1.2509,1.2508,1.2534,1.2478,0
24-Jul-17,1.2509,1.2536,1.2553,1.2482,-0.24
21-Jul-17,1.2539,1.2588,1.261,1.252,-0.41
20-Jul-17,1.259,1.2604,1.2641,1.254,-0.13
19-Jul-17,1.2606,1.2625,1.2654,1.2576,-0.17
18-Jul-17,1.2628,1.2696,1.2703,1.2578,-0.55
17-Jul-17,1.2698,1.2643,1.2701,1.2624,0.44
14-Jul-17,1.2643,1.2719,1.275,1.264,-0.62
13-Jul-17,1.2722,1.2748,1.2772,1.2718,-0.22
12-Jul-17,1.275,1.2913,1.2941,1.2682,-1.27
11-Jul-17,1.2914,1.2889,1.2945,1.2882,0.18
10-Jul-17,1.2891,1.2877,1.2934,1.2868,0.12
07-Jul-17,1.2876,1.2976,1.2995,1.2857,-0.79
06-Jul-17,1.2978,1.2955,1.2985,1.2921,0.16
05-Jul-17,1.2957,1.2934,1.3016,1.2926,0.15
04-Jul-17,1.2937,1.3005,1.3016,1.291,-0.55
03-Jul-17,1.3008,1.2964,1.3014,1.2962,0.33
30-Jun-17,1.2965,1.3002,1.3014,1.2945,-0.3
29-Jun-17,1.3004,1.3037,1.3044,1.2983,-0.27
28-Jun-17,1.3039,1.3194,1.3199,1.3011,-1.21
27-Jun-17,1.3199,1.3243,1.3262,1.3145,-0.33
26-Jun-17,1.3243,1.3264,1.3273,1.3209,-0.18
23-Jun-17,1.3267,1.3232,1.3309,1.3208,0.25
22-Jun-17,1.3234,1.3332,1.3339,1.3205,-0.75
21-Jun-17,1.3334,1.3266,1.3349,1.3261,0.51
20-Jun-17,1.3267,1.3215,1.3287,1.3201,0.37
19-Jun-17,1.3218,1.3215,1.3257,1.3189,0.05
16-Jun-17,1.3212,1.3267,1.3275,1.3207,-0.44
15-Jun-17,1.327,1.3243,1.331,1.3223,0.17
14-Jun-17,1.3247,1.3239,1.3273,1.3163,0.04
13-Jun-17,1.3242,1.3324,1.3326,1.3209,-0.62
12-Jun-17,1.3324,1.3456,1.3472,1.3317,-1.08
09-Jun-17,1.347,1.3508,1.3541,1.342,-0.28
08-Jun-17,1.3508,1.3506,1.3524,1.3482,-0.01
07-Jun-17,1.3509,1.3452,1.3526,1.3423,0.4
06-Jun-17,1.3455,1.3471,1.3487,1.3435,-0.13
05-Jun-17,1.3473,1.3491,1.3502,1.3456,-0.07
02-Jun-17,1.3482,1.3512,1.3548,1.3477,-0.24
01-Jun-17,1.3515,1.3499,1.3528,1.347,0.1
31-May-17,1.3501,1.3457,1.3524,1.3433,0.3
30-May-17,1.346,1.3451,1.3508,1.3448,0.04
29-May-17,1.3454,1.3445,1.3469,1.3424,0.06
26-May-17,1.3446,1.3482,1.3499,1.343,-0.28
25-May-17,1.3484,1.3405,1.3494,1.3385,0.57
24-May-17,1.3408,1.3512,1.3541,1.3402,-0.79
23-May-17,1.3515,1.35,1.3525,1.3453,0.09
22-May-17,1.3503,1.3518,1.3542,1.3482,-0.08
19-May-17,1.3514,1.3601,1.3612,1.3507,-0.65
18-May-17,1.3603,1.3601,1.3671,1.3579,0
17-May-17,1.3603,1.3603,1.3643,1.3568,-0.02
16-May-17,1.3606,1.363,1.3661,1.3572,-0.19
15-May-17,1.3632,1.3694,1.3723,1.3598,-0.57
12-May-17,1.371,1.3695,1.3743,1.3664,0.09
11-May-17,1.3697,1.3655,1.3772,1.365,0.31
10-May-17,1.3655,1.3718,1.3734,1.3645,-0.47
