Date,Rate
01-Dec-17,4.10%
01-Nov-17,4.10%
01-Oct-17,4.10%
01-Sep-17,4.20%
01-Aug-17,4.40%
01-Jul-17,4.30%
01-Jun-17,4.30%
01-May-17,4.30%
01-Apr-17,4.40%
01-Mar-17,4.50%
01-Feb-17,4.70%
01-Jan-17,4.80%
01-Dec-16,4.70%
01-Nov-16,4.60%
01-Oct-16,4.90%
01-Sep-16,5.00%
01-Aug-16,4.90%
01-Jul-16,4.90%
01-Jun-16,4.90%
01-May-16,4.70%
01-Apr-16,5.00%
01-Mar-16,5.00%
01-Feb-16,4.90%
01-Jan-16,4.90%
01-Dec-15,5.00%
01-Nov-15,5.00%
01-Oct-15,5.00%
01-Sep-15,5.00%
01-Aug-15,5.10%
01-Jul-15,5.20%
01-Jun-15,5.30%
01-May-15,5.50%
01-Apr-15,5.40%
01-Mar-15,5.50%
01-Feb-15,5.50%
01-Jan-15,5.70%
01-Dec-14,5.60%
01-Nov-14,5.80%
01-Oct-14,5.70%
01-Sep-14,5.90%
01-Aug-14,6.20%
01-Jul-14,6.20%
01-Jun-14,6.10%
01-May-14,6.30%
01-Apr-14,6.30%
01-Mar-14,6.70%
01-Feb-14,6.70%
01-Jan-14,6.60%
01-Dec-13,6.70%
01-Nov-13,6.90%
01-Oct-13,7.20%
01-Sep-13,7.20%
01-Aug-13,7.20%
01-Jul-13,7.30%
01-Jun-13,7.50%
01-May-13,7.50%
01-Apr-13,7.60%
01-Mar-13,7.50%
01-Feb-13,7.70%
01-Jan-13,8.00%
01-Dec-12,7.90%
01-Nov-12,7.70%
01-Oct-12,7.80%
01-Sep-12,7.80%
01-Aug-12,8.10%
01-Jul-12,8.20%
01-Jun-12,8.20%
01-May-12,8.20%
01-Apr-12,8.20%
01-Mar-12,8.20%
01-Feb-12,8.30%
01-Jan-12,8.30%
01-Dec-11,8.50%
01-Nov-11,8.60%
01-Oct-11,8.80%
01-Sep-11,9.00%
01-Aug-11,9.00%
01-Jul-11,9.00%
01-Jun-11,9.10%
01-May-11,9.00%
01-Apr-11,9.10%
01-Mar-11,9.00%
01-Feb-11,9.00%
01-Jan-11,9.10%
01-Dec-10,9.30%
01-Nov-10,9.80%
01-Oct-10,9.40%
01-Sep-10,9.50%
01-Aug-10,9.50%
01-Jul-10,9.40%
01-Jun-10,9.40%
01-May-10,9.60%
01-Apr-10,9.90%
01-Mar-10,9.90%
01-Feb-10,9.80%
01-Jan-10,9.80%
01-Dec-09,9.90%
01-Nov-09,9.90%
01-Oct-09,10.00%
01-Sep-09,9.80%
01-Aug-09,9.60%
01-Jul-09,9.50%
01-Jun-09,9.50%
01-May-09,9.40%
01-Apr-09,9.00%
01-Mar-09,8.70%
01-Feb-09,8.30%
01-Jan-09,7.80%
01-Dec-08,7.30%
01-Nov-08,6.80%
01-Oct-08,6.50%
01-Sep-08,6.10%
01-Aug-08,6.10%
01-Jul-08,5.80%
01-Jun-08,5.60%
01-May-08,5.40%
01-Apr-08,5.00%
01-Mar-08,5.10%
01-Feb-08,4.90%
01-Jan-08,5.00%
01-Dec-07,5.00%
01-Nov-07,4.70%
01-Oct-07,4.70%
01-Sep-07,4.70%
01-Aug-07,4.60%
01-Jul-07,4.70%
01-Jun-07,4.60%
01-May-07,4.40%
01-Apr-07,4.50%
01-Mar-07,4.40%
01-Feb-07,4.50%
01-Jan-07,4.60%
01-Dec-06,4.40%
01-Nov-06,4.50%
01-Oct-06,4.40%
01-Sep-06,4.50%
01-Aug-06,4.70%
01-Jul-06,4.70%
01-Jun-06,4.60%
01-May-06,4.60%
01-Apr-06,4.70%
01-Mar-06,4.70%
01-Feb-06,4.80%
01-Jan-06,4.70%
01-Dec-05,4.90%
01-Nov-05,5.00%
01-Oct-05,5.00%
01-Sep-05,5.00%
01-Aug-05,4.90%
01-Jul-05,5.00%
01-Jun-05,5.00%
01-May-05,5.10%
01-Apr-05,5.20%
01-Mar-05,5.20%
01-Feb-05,5.40%
01-Jan-05,5.30%
01-Dec-04,5.40%
01-Nov-04,5.40%
01-Oct-04,5.50%
01-Sep-04,5.40%
01-Aug-04,5.40%
01-Jul-04,5.50%
01-Jun-04,5.60%
01-May-04,5.60%
01-Apr-04,5.60%
01-Mar-04,5.80%
01-Feb-04,5.60%
01-Jan-04,5.70%
01-Dec-03,5.70%
01-Nov-03,5.80%
01-Oct-03,6.00%
01-Sep-03,6.10%
01-Aug-03,6.10%
01-Jul-03,6.20%
01-Jun-03,6.30%
01-May-03,6.10%
01-Apr-03,6.00%
01-Mar-03,5.90%
01-Feb-03,5.90%
01-Jan-03,5.80%
01-Dec-02,6.00%
01-Nov-02,5.90%
01-Oct-02,5.70%
01-Sep-02,5.70%
01-Aug-02,5.70%
01-Jul-02,5.80%
01-Jun-02,5.80%
01-May-02,5.80%
01-Apr-02,5.90%
01-Mar-02,5.70%
01-Feb-02,5.70%
01-Jan-02,5.70%
01-Dec-01,5.70%
01-Nov-01,5.50%
01-Oct-01,5.30%
01-Sep-01,5.00%
01-Aug-01,4.90%
01-Jul-01,4.60%
01-Jun-01,4.50%
01-May-01,4.30%
01-Apr-01,4.40%
01-Mar-01,4.30%
01-Feb-01,4.20%
01-Jan-01,4.20%
01-Dec-00,3.90%
01-Nov-00,3.90%
01-Oct-00,3.90%
01-Sep-00,3.90%
01-Aug-00,4.10%
01-Jul-00,4.00%
01-Jun-00,4.00%
01-May-00,4.00%
01-Apr-00,3.80%
01-Mar-00,4.00%
01-Feb-00,4.10%
01-Jan-00,4.00%
01-Dec-99,4.00%
01-Nov-99,4.10%
01-Oct-99,4.10%
01-Sep-99,4.20%
01-Aug-99,4.20%
01-Jul-99,4.30%
01-Jun-99,4.30%
01-May-99,4.20%
01-Apr-99,4.30%
01-Mar-99,4.20%
01-Feb-99,4.40%
01-Jan-99,4.30%
01-Dec-98,4.40%
01-Nov-98,4.40%
01-Oct-98,4.50%
01-Sep-98,4.60%
01-Aug-98,4.50%
01-Jul-98,4.50%
01-Jun-98,4.50%
01-May-98,4.40%
01-Apr-98,4.30%
01-Mar-98,4.70%
01-Feb-98,4.60%
01-Jan-98,4.60%
01-Dec-97,4.70%
01-Nov-97,4.60%
01-Oct-97,4.70%
01-Sep-97,4.90%
01-Aug-97,4.80%
01-Jul-97,4.90%
01-Jun-97,5.00%
01-May-97,4.90%
01-Apr-97,5.10%
01-Mar-97,5.20%
01-Feb-97,5.20%
01-Jan-97,5.30%
01-Dec-96,5.40%
01-Nov-96,5.40%
01-Oct-96,5.20%
01-Sep-96,5.20%
01-Aug-96,5.10%
01-Jul-96,5.50%
01-Jun-96,5.30%
01-May-96,5.60%
01-Apr-96,5.60%
01-Mar-96,5.50%
01-Feb-96,5.50%
01-Jan-96,5.60%
01-Dec-95,5.60%
01-Nov-95,5.60%
01-Oct-95,5.50%
01-Sep-95,5.60%
01-Aug-95,5.70%
01-Jul-95,5.70%
01-Jun-95,5.60%
01-May-95,5.60%
01-Apr-95,5.80%
01-Mar-95,5.40%
01-Feb-95,5.40%
01-Jan-95,5.60%
01-Dec-94,5.50%
01-Nov-94,5.60%
01-Oct-94,5.80%
01-Sep-94,5.90%
01-Aug-94,6.00%
01-Jul-94,6.10%
01-Jun-94,6.10%
01-May-94,6.10%
01-Apr-94,6.40%
01-Mar-94,6.50%
01-Feb-94,6.60%
01-Jan-94,6.60%
01-Dec-93,6.50%
01-Nov-93,6.60%
01-Oct-93,6.80%
01-Sep-93,6.70%
01-Aug-93,6.80%
01-Jul-93,6.90%
01-Jun-93,7.00%
01-May-93,7.10%
01-Apr-93,7.10%
01-Mar-93,7.00%
01-Feb-93,7.10%
01-Jan-93,7.30%
01-Dec-92,7.40%
01-Nov-92,7.40%
01-Oct-92,7.30%
01-Sep-92,7.60%
01-Aug-92,7.60%
01-Jul-92,7.70%
01-Jun-92,7.80%
01-May-92,7.60%
01-Apr-92,7.40%
01-Mar-92,7.40%
01-Feb-92,7.40%
01-Jan-92,7.30%
01-Dec-91,7.30%
01-Nov-91,7.00%
01-Oct-91,7.00%
01-Sep-91,6.90%
01-Aug-91,6.90%
01-Jul-91,6.80%
01-Jun-91,6.90%
01-May-91,6.90%
01-Apr-91,6.70%
01-Mar-91,6.80%
01-Feb-91,6.60%
01-Jan-91,6.40%
01-Dec-90,6.30%
01-Nov-90,6.20%
01-Oct-90,5.90%
01-Sep-90,5.90%
01-Aug-90,5.70%
01-Jul-90,5.50%
01-Jun-90,5.20%
