Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1989,2.0,-0.5,0.8,0.8,0.7,-1.2,-1.1,-0.6,0.4,0.6,0.2,0.5
1990,1.0,0.2,-0.3,-0.9,-0.4,-0.4,-0.3,3.1,3.4,2.9,-0.6,-0.3
1991,-1.4,-2.1,0.0,-0.8,-0.2,-0.6,-0.6,0.3,0.2,0.9,0.4,-0.2
1992,-0.3,0.0,-0.1,-0.3,0.4,0.9,0.5,0.4,0.2,0.7,-0.6,-1.7
1993,-0.1,-0.1,0.5,0.5,0.3,-0.5,-0.5,-0.1,0.1,0.4,-0.5,-1.0
1994,0.0,0.4,0.1,0.7,0.8,0.8,0.9,0.4,-0.4,0.7,0.6,-0.1
1995,0.3,0.7,0.5,1.0,0.9,-0.4,-0.3,-0.3,0.0,-0.4,0.2,0.4
1996,0.2,-0.2,0.6,0.9,-0.7,-1.1,-0.1,0.1,1.1,0.6,-0.2,0.3
1997,-0.3,-1.0,-1.2,-1.2,0.0,0.0,-0.3,-0.1,0.0,0.2,-0.5,-0.9
1998,-1.3,-0.9,-0.9,-0.2,-0.2,-0.6,-0.9,-0.3,0.2,0.1,-0.5,-0.9
1999,0.3,-0.1,0.3,1.0,0.8,-0.2,1.0,1.1,1.1,0.2,0.7,0.7
2000,0.4,1.9,0.2,-1.4,0.3,1.4,0.0,0.2,1.2,-0.4,0.0,-0.7
2001,0.0,-0.6,-1.6,-0.5,0.2,-0.4,-1.5,-0.1,-0.1,-2.3,-1.5,-1.0
2002,0.2,0.0,1.3,1.6,0.1,-0.3,0.4,0.3,0.7,0.0,-0.9,0.6
2003,1.8,1.7,0.6,-3.1,-0.7,0.9,0.5,0.0,-0.5,0.1,0.5,0.7
2004,1.5,0.4,0.8,0.2,1.5,-0.2,0.4,1.5,0.5,1.6,-0.3,-1.4
2005,0.6,0.9,2.2,0.9,-0.8,1.2,1.2,1.4,2.1,0.1,-1.9,0.0
2006,1.2,-0.8,-0.1,2.1,1.8,0.1,0.8,0.5,-2.2,-2.5,0.4,1.1
2007,-1.2,0.4,1.6,1.4,0.9,1.2,1.3,-0.3,0.6,1.5,3.2,-0.2
2008,1.5,0.2,3.1,2.8,2.8,3.0,1.4,-3.1,-3.6,-6.0,-7.4,-4.6
2009,-1.3,0.0,0.5,1.1,1.7,2.7,-0.6,1.5,0.2,0.8,1.5,0.2
2010,1.2,-0.1,0.4,1.1,-0.8,-1.2,0.0,0.4,0.0,1.1,1.7,1.4
2011,1.5,1.7,3.0,2.6,0.1,-0.6,0.1,-0.4,-0.1,-0.4,0.7,0.0
2012,0.0,0.0,1.4,-0.1,-1.5,-2.3,-0.7,1.2,1.0,0.3,-0.7,-0.6
2013,0.5,0.9,-0.1,-0.7,-0.6,-0.4,0.1,0.4,0.3,-0.6,-0.9,0.1
2014,0.4,1.1,0.5,-0.6,0.3,0.3,-0.3,-0.8,-0.8,-1.4,-1.8,-2.5
2015,-3.2,-0.4,-0.2,-0.2,1.1,0.1,-0.9,-1.8,-1.1,-0.3,-0.6,-1.2
2016,-1.3,-0.5,0.4,0.7,1.2,0.7,0.1,-0.2,0.1,0.5,-0.1,0.4
2017,0.6,0.3,-0.2,0.2,-0.1,-0.2,-0.2,0.6,0.8,0.2,0.8,0.1
